"GEO_ID","NAME","B19013_001E","B19013_001EA","B19013_001M","B19013_001MA",
"1500000US060855120351","Block Group 1, Census Tract 5120.35, Santa Clara County, California","142768","null","56717","null",
"1500000US060855120352","Block Group 2, Census Tract 5120.35, Santa Clara County, California","169398","null","15743","null",
"1500000US060855120361","Block Group 1, Census Tract 5120.36, Santa Clara County, California","127127","null","21612","null",
"1500000US060855120362","Block Group 2, Census Tract 5120.36, Santa Clara County, California","151528","null","35008","null",
"1500000US060855120371","Block Group 1, Census Tract 5120.37, Santa Clara County, California","169773","null","28153","null",
"1500000US060855120372","Block Group 2, Census Tract 5120.37, Santa Clara County, California","119875","null","50831","null",
"1500000US060855120381","Block Group 1, Census Tract 5120.38, Santa Clara County, California","79063","null","55247","null",
"1500000US060855120382","Block Group 2, Census Tract 5120.38, Santa Clara County, California","132548","null","56776","null",
"1500000US060855120391","Block Group 1, Census Tract 5120.39, Santa Clara County, California","124881","null","37073","null",
"1500000US060855120392","Block Group 2, Census Tract 5120.39, Santa Clara County, California","98793","null","26732","null",
"1500000US060855120393","Block Group 3, Census Tract 5120.39, Santa Clara County, California","124137","null","12626","null",
"1500000US060855120421","Block Group 1, Census Tract 5120.42, Santa Clara County, California","115250","null","42264","null",
"1500000US060855120422","Block Group 2, Census Tract 5120.42, Santa Clara County, California","58750","null","33330","null",
"1500000US060855120431","Block Group 1, Census Tract 5120.43, Santa Clara County, California","83092","null","22350","null",
"1500000US060855120432","Block Group 2, Census Tract 5120.43, Santa Clara County, California","41985","null","5439","null",
"1500000US060855120433","Block Group 3, Census Tract 5120.43, Santa Clara County, California","53578","null","12185","null",
"1500000US060855120451","Block Group 1, Census Tract 5120.45, Santa Clara County, California","167000","null","32840","null",
"1500000US060855120452","Block Group 2, Census Tract 5120.45, Santa Clara County, California","154034","null","39651","null",
"1500000US060855120453","Block Group 3, Census Tract 5120.45, Santa Clara County, California","101458","null","30610","null",
"1500000US060855120454","Block Group 4, Census Tract 5120.45, Santa Clara County, California","159091","null","25845","null",
"1500000US060855120471","Block Group 1, Census Tract 5120.47, Santa Clara County, California","130208","null","37700","null",
"1500000US060855120472","Block Group 2, Census Tract 5120.47, Santa Clara County, California","147045","null","33209","null",
"1500000US060855120473","Block Group 3, Census Tract 5120.47, Santa Clara County, California","172305","null","26866","null",
"1500000US060855120521","Block Group 1, Census Tract 5120.52, Santa Clara County, California","93043","null","18609","null",
"1500000US060855120522","Block Group 2, Census Tract 5120.52, Santa Clara County, California","114821","null","19209","null",
"1500000US060855120523","Block Group 3, Census Tract 5120.52, Santa Clara County, California","101094","null","33169","null",
"1500000US060855120531","Block Group 1, Census Tract 5120.53, Santa Clara County, California","82833","null","17312","null",
"1500000US060855120532","Block Group 2, Census Tract 5120.53, Santa Clara County, California","157857","null","38923","null",
"1500000US060855120533","Block Group 3, Census Tract 5120.53, Santa Clara County, California","145147","null","95057","null",
"1500000US060855120541","Block Group 1, Census Tract 5120.54, Santa Clara County, California","105930","null","82783","null",
"1500000US060855120542","Block Group 2, Census Tract 5120.54, Santa Clara County, California","100655","null","25663","null",
"1500000US060855120543","Block Group 3, Census Tract 5120.54, Santa Clara County, California","81513","null","36911","null",
"1500000US060855120551","Block Group 1, Census Tract 5120.55, Santa Clara County, California","132411","null","14112","null",
"1500000US060855120561","Block Group 1, Census Tract 5120.56, Santa Clara County, California","79484","null","41509","null",
"1500000US060855120562","Block Group 2, Census Tract 5120.56, Santa Clara County, California","170735","null","69275","null",
"1500000US060855120571","Block Group 1, Census Tract 5120.57, Santa Clara County, California","118750","null","70767","null",
"1500000US060855120572","Block Group 2, Census Tract 5120.57, Santa Clara County, California","-","-","**","**",
"1500000US060855120581","Block Group 1, Census Tract 5120.58, Santa Clara County, California","117154","null","17551","null",
"1500000US060855120582","Block Group 2, Census Tract 5120.58, Santa Clara County, California","216121","null","35517","null",
"1500000US060855120583","Block Group 3, Census Tract 5120.58, Santa Clara County, California","80741","null","24233","null",
"1500000US060855120591","Block Group 1, Census Tract 5120.59, Santa Clara County, California","221250","null","60790","null",
"1500000US060855120592","Block Group 2, Census Tract 5120.59, Santa Clara County, California","87045","null","57395","null",
"1500000US060855120593","Block Group 3, Census Tract 5120.59, Santa Clara County, California","143233","null","11445","null",
"1500000US060855120594","Block Group 4, Census Tract 5120.59, Santa Clara County, California","118228","null","9364","null",
"1500000US060855121001","Block Group 1, Census Tract 5121, Santa Clara County, California","85000","null","33951","null",
"1500000US060855122001","Block Group 1, Census Tract 5122, Santa Clara County, California","128750","null","14940","null",
"1500000US060855122002","Block Group 2, Census Tract 5122, Santa Clara County, California","130982","null","113387","null",
"1500000US060855122003","Block Group 3, Census Tract 5122, Santa Clara County, California","198629","null","52707","null",
"1500000US060855123051","Block Group 1, Census Tract 5123.05, Santa Clara County, California","155455","null","47393","null",
"1500000US060855123052","Block Group 2, Census Tract 5123.05, Santa Clara County, California","176500","null","63637","null",
